home_team,away_team,points_home,points_away,id
Browns,Bengals,24,3,1
Commanders,Cardinals,20,16,3
Ravens,Texans,25,9,4
Saints,Titans,16,15,6
Jets,Bills,22,16,14
Eagles,Vikings,34,28,15
Falcons,Packers,25,24,16
Bills,Raiders,38,10,17
Buccaneers,Bears,27,17,18
Titans,Chargers,27,24,23
Cowboys,Jets,30,10,26
Steelers,Browns,26,22,30
49ers,Giants,30,12,31
Lions,Falcons,20,6,32
Browns,Titans,27,3,34
Dolphins,Broncos,70,20,36
Packers,Saints,18,17,37
Seahawks,Panthers,37,27,41
Chiefs,Bears,41,10,42
Cardinals,Cowboys,28,16,43
Bengals,Rams,19,16,46
Jaguars,Falcons,23,7,48
Bills,Dolphins,48,20,49
Titans,Bengals,27,3,52
Texans,Steelers,30,6,55
Eagles,Commanders,34,31,57
Chargers,Raiders,24,17,58
49ers,Cardinals,35,16,59
Cowboys,Patriots,38,3,60
Falcons,Texans,21,19,65
Lions,Panthers,42,24,66
Colts,Titans,23,16,67
Dolphins,Giants,31,16,68
Steelers,Ravens,17,10,70
49ers,Cowboys,42,10,75
Raiders,Packers,17,13,76
Chiefs,Broncos,19,8,77
Browns,49ers,19,17,79
Dolphins,Panthers,42,21,81
Bengals,Seahawks,17,13,83
Jaguars,Colts,37,20,84
Texans,Saints,20,13,85
Raiders,Patriots,21,17,86
Rams,Cardinals,26,9,87
Jets,Eagles,20,14,89
Bills,Giants,14,9,90
Patriots,Bills,29,25,95
Bears,Raiders,30,12,96
Ravens,Lions,38,6,97
Giants,Commanders,14,7,98
Seahawks,Cardinals,20,10,100
Broncos,Packers,19,17,101
Chiefs,Chargers,31,17,102
Eagles,Dolphins,31,17,103
Cowboys,Rams,43,20,104
Titans,Falcons,28,23,106
Dolphins,Patriots,31,17,109
Seahawks,Browns,24,20,112
Broncos,Chiefs,24,9,115
Chargers,Bears,30,13,116
Lions,Raiders,26,14,117
Steelers,Titans,20,16,118
Chiefs,Dolphins,21,14,119
Browns,Cardinals,27,0,120
Packers,Rams,20,3,121
