away_team,home_team,spread
Lions,Chiefs,Chiefs -6.5
Jaguars,Colts,Jaguars -4.5
Cardinals,Commanders,Commanders -7
Texans,Ravens,Ravens -10
49ers,Steelers,49ers -2.5
Panthers,Falcons,Falcons -3.5
Titans,Saints,Saints -3.5
Bengals,Browns,Bengals -2
Buccaneers,Vikings,Vikings -6
Raiders,Broncos,Broncos -4
Packers,Bears,Bears -2
Dolphins,Chargers,Chargers -3
Eagles,Patriots,Eagles -4.5
Rams,Seahawks,Seahawks -4.5
Cowboys,Giants,Cowboys -3.5
Bills,Jets,Bills -2.5
Vikings,Eagles,Eagles -7
Chiefs,Jaguars,Chiefs -2.5
Colts,Texans,Texans -1.5
Packers,Falcons,Falcons -1.5
Seahawks,Lions,Lions -3
Raiders,Bills,Bills -9.5
Ravens,Bengals,Bengals -3.5
Chargers,Titans,Chargers -3
Bears,Buccaneers,Bears -1.5
49ers,Rams,49ers -6
Giants,Cardinals,Giants -5.5
Jets,Cowboys,Cowboys -3
Commanders,Broncos,Broncos -3.5
Dolphins,Patriots,Dolphins -2
Saints,Panthers,Saints -1.5
Browns,Steelers,Steelers -1
Texans,Jaguars,Jaguars -7.5
Falcons,Lions,Lions -6
Bills,Commanders,Bills -6
Titans,Browns,Browns -5
Broncos,Dolphins,Dolphins -6
Chargers,Vikings,Chargers -1.5
Saints,Packers,Packers -2.5
Colts,Ravens,Ravens -8
Patriots,Jets,Patriots -1.5
Panthers,Seahawks,Seahawks -4.5
Bears,Chiefs,Chiefs -11.5
Cowboys,Cardinals,Cowboys -11
Steelers,Raiders,Pick
Eagles,Buccaneers,Eagles -7
Rams,Bengals,Bengals -7
Lions,Packers,Pick
Falcons,Jaguars,Jaguars -3
Rams,Colts,Rams -1
Buccaneers,Saints,Saints -3.5
Commanders,Eagles,Eagles -7
Steelers,Texans,Steelers -4
Bengals,Titans,Bengals -1
Ravens,Browns,Ravens -1.5
Broncos,Bears,Broncos -2
Dolphins,Bills,Bills -3
Vikings,Panthers,Vikings -3
Raiders,Chargers,Chargers -4.5
Patriots,Cowboys,Cowboys -7.5
Cardinals,49ers,49ers -14.5
Chiefs,Jets,Chiefs -7
Seahawks,Giants,Seahawks -1.5
Jaguars,Bills,Bills -4.5
Titans,Colts,Colts -1
Texans,Falcons,Falcons -3.5
Giants,Dolphins,Dolphins -10
Ravens,Steelers,Ravens -2.5
Panthers,Lions,Lions -7
Saints,Patriots,Patriots -2.5
Eagles,Rams,Eagles -6
Bengals,Cardinals,Bengals -7.5
Jets,Broncos,Broncos -3
Chiefs,Vikings,Chiefs -6
Cowboys,49ers,49ers -3
Packers,Raiders,Packers -1
Broncos,Chiefs,Chiefs -10.5
Ravens,Titans,Ravens -4.5
Vikings,Bears,Vikings -4.5
Panthers,Dolphins,Dolphins -10.5
Seahawks,Bengals,Bengals -2.5
49ers,Browns,49ers -3
Commanders,Falcons,Falcons -1.5
Colts,Jaguars,Jaguars -5.5
Saints,Texans,Saints -1
Patriots,Raiders,Raiders -1.5
Cardinals,Rams,Rams -4.5
Lions,Buccaneers,Lions -3
Eagles,Jets,Eagles -6.5
Giants,Bills,Bills -12.5
Cowboys,Chargers,Cowboys -2.5
Jaguars,Saints,Pick
Raiders,Bears,Raiders -1
Browns,Colts,Browns -2.5
Falcons,Buccaneers,Buccaneers -2.5
Commanders,Giants,Commanders -1.5
Lions,Ravens,Ravens -2.5
Bills,Patriots,Bills -8.5
Cardinals,Seahawks,Seahawks -7
Steelers,Rams,Rams -5 (-105)
Chargers,Chiefs,Chiefs -6
Packers,Broncos,Packers -1.5
Dolphins,Eagles,Eagles -2.5
49ers,Vikings,49ers -7
Falcons,Titans,Falcons -2.5
Texans,Panthers,Texans -3
Jaguars,Steelers,Jaguars -2.5
Rams,Cowboys,Cowboys -6
Vikings,Packers,Vikings -1.5
Patriots,Dolphins,Dolphins -9.5
Saints,Colts,Pick'em
Jets,Giants,Jets -3
Eagles,Commanders,Eagles -7
Browns,Seahawks,Seahawks -3.5
Ravens,Cardinals,Ravens -9.5
Bengals,49ers,49ers -4
Chiefs,Broncos,Chiefs -7
Bears,Chargers,Chargers -8.5
Raiders,Lions,Lions -8
Dolphins,Chiefs,Chiefs -2
Vikings,Falcons,Falcons -4
Cardinals,Browns,Browns -8
Rams,Packers,Packers -3
Commanders,Patriots,Patriots -3
Bears,Saints,Saints -8.5
Seahawks,Ravens,Ravens -6
Buccaneers,Texans,Texans -2.5
Colts,Panthers,Panthers +2.5
Giants,Raiders,Raiders -1.5
Cowboys,Eagles,Eagles -3
Bills,Bengals,Bengals -2
Chargers,Jets,Jets +3.5
Colts,Patriots,Patriots +2
Browns,Ravens,Ravens -6.5
Packers,Steelers,Steelers -3
Titans,Buccaneers,Buccaneers -1
49ers,Jaguars,Jaguars +3
Saints,Vikings,Vikings +2.5
Texans,Bengals,Bengals -6.5
Falcons,Cardinals,Cardinals +1.5
Lions,Chargers,Chargers +3
Giants,Cowboys,Cowboys -17
Commanders,Seahawks,Seahawks -6
Jets,Raiders,Pick'em
Broncos,Bills,Bills -7.5
Bengals,Ravens,Ravens -4
Steelers,Browns,Browns -2.5
Bears,Lions,Lions -9
Chargers,Packers,Packers +3
Raiders,Dolphins,Dolphins -12.5
Giants,Commanders,Commanders -10
Cowboys,Panthers,Panthers +10.5
Titans,Jaguars,Jaguars -6.5
Cardinals,Texans,Texans -4
Buccaneers,49ers,49ers -11.5
Jets,Bills,Bills -7
Seahawks,Rams,Rams +1
Vikings,Broncos,Broncos -2
Eagles,Chiefs,Chiefs -2.5
Patriots,Giants,Giants +3
Panthers,Titans,Titans -3.5
Jaguars,Texans,Texans +1.5
Buccaneers,Colts,Colts -2.5
Saints,Falcons,Falcons +1.5
Steelers,Bengals,Bengals +1.5
Browns,Broncos,Broncos -1.5
