Lions vs. Chiefs,Chiefs -275
Panthers vs. Falcons,Falcons -175
Texans vs. Ravens,Ravens -500
Bengals vs. Browns,Bengals -125
Jaguars vs. Colts,Jaguars -200
Buccaneers vs. Vikings,Vikings -275
Titans vs. Saints,Saints -185
49ers vs. Steelers,49ers -145
Cardinals vs. Commanders,Commanders -300
Packers vs. Bears,Bears -130
Eagles vs. Patriots,Eagles -210
Raiders vs. Broncos,Broncos -210
Dolphins vs. Chargers,Chargers -150
Rams vs. Seahawks,Seahawks -225
Cowboys vs. Giants,Cowboys -165
Bills vs. Jets,Bills -130
Vikings vs. Eagles,Eagles -298
Seahawks vs. Lions,Lions -142
Colts vs. Texans,Texans -115
Raiders vs. Bills,Bills -355
Bears vs. Buccaneers,Bears -122
Chargers vs. Titans,Chargers -166
Ravens vs. Bengals,Bengals -175
Packers vs. Falcons,Falcons -125
Chiefs vs. Jaguars,Chiefs -155
Giants vs. Cardinals,Giants -205
49ers vs. Rams,49ers -198
Commanders vs. Broncos,Broncos -192
Jets vs. Cowboys,Cowboys -166
Dolphins vs. Patriots,Dolphins -130
Saints vs. Panthers,Saints -122
Browns vs. Steelers,Steelers -115
Texans vs Jaguars,Jaguars -298
Saints vs. Packers,Packers -130
Broncos vs. Dolphins,Dolphins -218
Colts vs. Ravens,Ravens -395
Bills vs. Commanders,Bills -218
Titans vs. Browns,Browns -218
Patriots vs. Jets,Patriots -130
Chargers vs. Vikings,Chargers -120
Falcons vs. Lions,Lions -230
Panthers vs. Seahawks,Seahawks -185
Cowboys vs. Cardinals,Cowboys -500
Bears vs. Chiefs,Chiefs -575
Steelers vs. Raiders,Steelers -125
Eagles vs. Buccaneers,Eagles -340
Rams vs. Bengals,Bengals -340
Lions vs. Packers,Packers -122
Falcons vs. Jaguars,Jaguars -148
Broncos vs. Bears,Broncos -122
Vikings vs. Panthers,Vikings -130
Rams vs. Colts,Rams -120
Buccaneers vs. Saints,Saints -218
Commanders vs. Eagles,Eagles -375
Dolphins vs. Bills,Bills -180
Bengals vs. Titans,Bengals -118
Ravens vs. Browns,Ravens -120
Steelers vs. Texans,Steelers -198
Raiders vs. Chargers,Chargers -225
Patriots vs. Cowboys,Cowboys -360
Cardinals vs. 49ers,49ers -950
Chiefs vs. Jets,Chiefs -360
Seahawks vs. Giants,Seahawks -115
Jaguars vs. Bills,Bills -205
Giants vs. Dolphins,Dolphins -500
Panthers vs. Lions,Lions -375
Texans vs. Falcons,Falcons -185
Ravens vs. Steelers,Ravens -125
