Lions vs. Chiefs,Chiefs -6.5
Jaguars vs. Colts,Jaguars -4.5
Cardinals vs. Commanders,Commanders -7
Texans vs. Ravens,Ravens -10
49ers vs. Steelers,49ers -2.5
Panthers vs. Falcons,Falcons -3.5
Titans vs. Saints,Saints -3.5
Bengals vs. Browns,Bengals -2
Buccaneers vs. Vikings,Vikings -6
Raiders vs. Broncos,Broncos -4
Packers vs. Bears,Bears -2
Dolphins vs. Chargers,Chargers -3
Eagles vs. Patriots,Eagles -4.5
Rams vs. Seahawks,Seahawks -4.5
Cowboys vs. Giants,Cowboys -3.5
Bills vs. Jets,Bills -2.5
Vikings vs. Eagles,Eagles -7
Chiefs vs. Jaguars,Chiefs -2.5
Colts vs. Texans,Texans -1.5
Packers vs. Falcons,Falcons -1.5
Seahawks vs. Lions,Lions -3
Raiders vs. Bills,Bills -9.5
Ravens vs. Bengals,Bengals -3.5
Chargers vs. Titans,Chargers -3
Bears vs. Buccaneers,Bears -1.5
49ers vs. Rams,49ers -6
Giants vs. Cardinals,Giants -5.5
Jets vs. Cowboys,Cowboys -3
Commanders vs. Broncos,Broncos -3.5
Dolphins vs. Patriots,Dolphins -2
Saints vs. Panthers,Saints -1.5
Browns vs. Steelers,Steelers -1
Texans vs. Jaguars,Jaguars -7.5
Falcons vs. Lions,Lions -6
Bills vs. Commanders,Bills -6
Titans vs. Browns,Browns -5
Broncos vs. Dolphins,Dolphins -6
Chargers vs. Vikings,Chargers -1.5
Saints vs. Packers,Packers -2.5
Colts vs. Ravens,Ravens -8
Patriots vs. Jets,Patriots -1.5
Panthers vs. Seahawks,Seahawks -4.5
Bears vs. Chiefs,Chiefs -11.5
Cowboys vs. Cardinals,Cowboys -11
Steelers vs. Raiders,Pick
Eagles vs. Buccaneers,Eagles -7
Rams vs. Bengals,Bengals -7
Lions vs. Packers,Pick
Falcons vs. Jaguars,Jaguars -3
Rams vs. Colts,Rams -1
Buccaneers vs. Saints,Saints -3.5
Commanders vs. Eagles,Eagles -7
Steelers vs. Texans,Steelers -4
Bengals vs. Titans,Bengals -1
Ravens vs. Browns,Ravens -1.5
Broncos vs. Bears,Broncos -2
Dolphins vs. Bills,Bills -3
Vikings vs. Panthers,Vikings -3
Raiders vs. Chargers,Chargers -4.5
Patriots vs. Cowboys,Cowboys -7.5
Cardinals vs. 49ers,49ers -14.5
Chiefs vs. Jets,Chiefs -7
Seahawks vs. Giants,Seahawks -1.5
Jaguars vs. Bills,Bills -4.5
Titans vs. Colts,Colts -1
Texans vs. Falcons,Falcons -3.5
Giants vs. Dolphins,Dolphins -10
Ravens vs. Steelers,Ravens -2.5
Panthers vs. Lions,Lions -7
Saints vs. Patriots,Patriots -2.5
Eagles vs. Rams,Eagles -6
Bengals vs. Cardinals,Bengals -7.5
Jets vs. Broncos,Broncos -3
Chiefs vs. Vikings,Chiefs -6
Cowboys vs. 49ers,49ers -3
Packers vs. Raiders,Packers -1
Broncos vs. Chiefs,Chiefs -10.5
Ravens vs. Titans,Ravens -4.5
Vikings vs. Bears,Vikings -4.5
Panthers vs. Dolphins,Dolphins -10.5
